200000000;11.09
210000000;10.43
220000000;11.1
230000000;11.14
240000000;11.58
250000000;12.31
260000000;12.09
270000000;12.33
280000000;12.88
290000000;12.9
300000000;13.03
310000000;13.56
320000000;13.87
330000000;13.82
340000000;14.13
350000000;15.15
360000000;15.58
370000000;15.1
380000000;15.24
390000000;15.71
400000000;16.65
425000000;16.11
450000000;17.17
475000000;17.08
500000000;17.52
525000000;17.84
550000000;17.81
575000000;18.12
600000000;18.1
625000000;19.1
650000000;19.32
675000000;19.91
700000000;20.44
725000000;20.41
750000000;20.4
775000000;20.11
800000000;20.98
825000000;20.87
850000000;21.6
875000000;22.09
900000000;22.32
925000000;22.46
975000000;22.8
1000000000;23.22
1050000000;22.92
1100000000;23.58
1150000000;23.62
1200000000;23.51
1250000000;24.09
1300000000;24.58
